Source\Target,mental_B1.vX7Wu,mental_B1.Stress_Level,mental_B1.Hours_Worked_Per_Week,mental_B1.Job_Role,mental_B1.industriousness,mental_B1.Employee_ID,mental_B1.Social_Isolation_Rating,mental_B1.Access_to_Mental_Health_Resources,mental_B1.Age,mental_B1.Physical_Activity,mental_B1.Years_of_Experience,mental_B2.keep company financial backing  remote control do work,mental_B2.DHIHOrvRCC,mental_B2.Stress_Level,mental_B2.Sleep_Quality,mental_B2.Hours_Worked_Per_Week,mental_B2.Age,mental_B2.Social_Isolation_Rating,mental_B2.Years_of_Experience,mental_B2.Job_Role,mental_B2.1f,mental_B2.Access_to_Mental_Health_Resources,mental_B2.Physical_Activity,mental_B2.do work situating
mental_A3.Gender,0.0,0.16666669,0.14285713,0.0,0.13333333,0.090909064,0.04347825,0.121212125,0.16666669,0.0,0.15789473,0.07407409,0.100000024,0.16666669,0.07692307,0.14285713,0.16666669,0.04347825,0.15789473,0.0,0.0,0.121212125,0.0,0.058823526
mental_A3.Social_Isolation_Rating,0.0,0.13043481,0.13043481,0.17391306,0.17391306,0.13043481,1.0,0.15151513,0.0,0.21739131,0.0869565,0.14814812,0.0869565,0.13043481,0.21739131,0.13043481,0.0,1.0,0.0869565,0.17391306,0.0,0.15151513,0.21739131,0.34782606
mental_A3.Mental_Health_Condition,0.0,0.13043481,0.0869565,0.0869565,0.13043481,0.13043481,0.3043478,0.42424244,0.04347825,0.21739131,0.13043481,0.1851852,0.0869565,0.13043481,0.21739131,0.0869565,0.04347825,0.3043478,0.13043481,0.0869565,0.0,0.42424244,0.21739131,0.13043481
mental_A3.Industry,0.0,0.08333331,0.09523809,0.0,0.39999998,0.0,0.13043481,0.090909064,0.0,0.11764705,0.10526317,0.055555582,0.100000024,0.08333331,0.15384614,0.09523809,0.0,0.13043481,0.10526317,0.0,0.0,0.090909064,0.11764705,0.11764705
mental_A3.Work_Life_Balance_Rating,0.0,0.125,0.125,0.16666669,0.08333331,0.125,0.4166667,0.21212119,0.041666687,0.20833331,0.16666669,0.14814812,0.041666687,0.125,0.125,0.125,0.041666687,0.4166667,0.16666669,0.16666669,0.041666687,0.21212119,0.20833331,0.25
mental_A3.Company_Support_for_Remote_Work,0.032258093,0.16129035,0.32258064,0.16129035,0.16129035,0.19354838,0.2580645,0.15151513,0.032258093,0.09677422,0.19354838,0.25925928,0.06451613,0.16129035,0.09677422,0.32258064,0.032258093,0.2580645,0.19354838,0.16129035,0.032258093,0.15151513,0.09677422,0.12903225
mental_A3.Age,0.0,0.08333331,0.047619045,0.125,0.06666666,0.090909064,0.0,0.060606062,1.0,0.058823526,0.052631557,0.037037015,0.0,0.08333331,0.07692307,0.047619045,1.0,0.0,0.052631557,0.125,0.0,0.060606062,0.058823526,0.0
mental_A3.Stress_Level,0.0,1.0,0.19047618,0.16666669,0.13333333,0.08333331,0.13043481,0.21212119,0.08333331,0.11764705,0.21052629,0.055555582,0.0,1.0,0.15384614,0.19047618,0.08333331,0.13043481,0.21052629,0.16666669,0.0,0.21212119,0.11764705,0.11764705
mental_A3.Number_of_Virtual_Meetings,0.038461566,0.11538464,0.19230771,0.15384614,0.15384614,0.15384614,0.26923078,0.24242425,0.038461566,0.19230771,0.23076922,0.12962961,0.038461566,0.11538464,0.23076922,0.19230771,0.038461566,0.26923078,0.23076922,0.15384614,0.038461566,0.24242425,0.19230771,0.34615386
mental_A4.4kLUm6dYdq,0.0,0.0,0.047619045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055555582,0.0,0.0,0.0,0.047619045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823526
mental_A4.BELASTUNG STUFEI,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.018518507,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mental_A4.Productivity_Change,0.052631557,0.10526317,0.09523809,0.15789473,0.21052629,0.052631557,0.13043481,0.15151513,0.10526317,0.15789473,0.10526317,0.111111104,0.10526317,0.10526317,0.10526317,0.09523809,0.10526317,0.13043481,0.10526317,0.15789473,0.0,0.15151513,0.15789473,0.21052629
mental_A4.Gender,0.0,0.16666669,0.14285713,0.0,0.13333333,0.090909064,0.04347825,0.121212125,0.16666669,0.0,0.15789473,0.07407409,0.100000024,0.16666669,0.07692307,0.14285713,0.16666669,0.04347825,0.15789473,0.0,0.0,0.121212125,0.0,0.058823526
mental_A4.neighborhood,0.0,0.0,0.09523809,0.16666669,0.13333333,0.0,0.13043481,0.121212125,0.08333331,0.058823526,0.15789473,0.12962961,0.08333331,0.0,0.07692307,0.09523809,0.08333331,0.13043481,0.15789473,0.16666669,0.0,0.121212125,0.058823526,0.0
mental_A4.Number_of_Virtual_Meetings,0.038461566,0.11538464,0.19230771,0.15384614,0.15384614,0.15384614,0.26923078,0.24242425,0.038461566,0.19230771,0.23076922,0.12962961,0.038461566,0.11538464,0.23076922,0.19230771,0.038461566,0.26923078,0.23076922,0.15384614,0.038461566,0.24242425,0.19230771,0.34615386
mental_A4.Work_Location,0.0,0.07692307,0.23809522,0.23076922,0.06666666,0.07692307,0.34782606,0.15151513,0.0,0.11764705,0.21052629,0.111111104,0.0,0.07692307,0.15384614,0.23809522,0.0,0.34782606,0.21052629,0.23076922,0.0,0.15151513,0.11764705,0.35294116
mental_A4.Hours_Worked_Per_Week,0.047619045,0.19047618,1.0,0.19047618,0.14285713,0.19047618,0.13043481,0.27272725,0.047619045,0.09523809,0.28571427,0.111111104,0.047619045,0.19047618,0.09523809,1.0,0.047619045,0.13043481,0.28571427,0.19047618,0.0,0.27272725,0.09523809,0.19047618
mental_A4.Company_Support_for_Remote_Work,0.032258093,0.16129035,0.32258064,0.16129035,0.16129035,0.19354838,0.2580645,0.15151513,0.032258093,0.09677422,0.19354838,0.25925928,0.06451613,0.16129035,0.09677422,0.32258064,0.032258093,0.2580645,0.19354838,0.16129035,0.032258093,0.15151513,0.09677422,0.12903225
mental_A4.Age,0.0,0.08333331,0.047619045,0.125,0.06666666,0.090909064,0.0,0.060606062,1.0,0.058823526,0.052631557,0.037037015,0.0,0.08333331,0.07692307,0.047619045,1.0,0.0,0.052631557,0.125,0.0,0.060606062,0.058823526,0.0
mental_A4.Work_Life_Balance_Rating,0.0,0.125,0.125,0.16666669,0.08333331,0.125,0.4166667,0.21212119,0.041666687,0.20833331,0.16666669,0.14814812,0.041666687,0.125,0.125,0.125,0.041666687,0.4166667,0.16666669,0.16666669,0.041666687,0.21212119,0.20833331,0.25
mental_A4.Zugang zu Ressourcen für psychische Gesundheit,0.021739125,0.13043481,0.15217394,0.065217376,0.17391306,0.0869565,0.0869565,0.17391306,0.04347825,0.108695626,0.19565219,0.111111104,0.021739125,0.13043481,0.108695626,0.15217394,0.04347825,0.0869565,0.19565219,0.065217376,0.021739125,0.17391306,0.108695626,0.15217394
